"(PDH-CSV 4.0) (India Standard Time)(-330)","\\LAPTOP-GLP58E12\Processor Information(_Total)\% Processor Time","\\LAPTOP-GLP58E12\Memory\% Committed Bytes In Use"
"04/18/2022 00:24:43.320"," ","55.761910242904420443"
"04/18/2022 00:24:44.335","2.2847650062779001345","55.768041558509708011"
"04/18/2022 00:24:45.319","2.9760353134288264343","55.76527369110036858"
"04/18/2022 00:24:46.335","0.35790515375542231169","55.753641728254422105"
"04/18/2022 00:24:47.321","0","55.764327723478047005"
"04/18/2022 00:24:48.305","2.5564660933154348399","55.758616853449169071"
"04/18/2022 00:24:49.308","2.968981300114448274","55.867088529250374052"
"04/18/2022 00:24:50.307","2.5200126624755125881","55.86291925419655513"
"04/18/2022 00:24:51.322","0.33646776229827590754","55.828443741385925136"
"04/18/2022 00:24:52.307","1.7879965001956987791","55.825956178788551654"
"04/18/2022 00:24:53.322","4.3844707164955920575","55.833979452921532527"
"04/18/2022 00:24:54.306","7.1148889936230697018","55.858259451542579654"
"04/18/2022 00:24:55.322","7.8839236113914523685","55.76797147648594688"
"04/18/2022 00:24:56.306","2.1597513457610961751","55.762961310279315796"
"04/18/2022 00:24:57.308","3.8670886878443333501","55.78468368756228557"
"04/18/2022 00:24:58.323","0.93988298242175805086","55.77469839616089331"
"04/18/2022 00:24:59.307","1.9610160272456322872","55.746038899697836655"
"04/18/2022 00:25:00.322","2.091141625112180602","55.751434447185928889"
"04/18/2022 00:25:01.307","0.57506021285641528706","55.745127949804327727"
"04/18/2022 00:25:02.308","3.0245513838363269343","55.769407948425367749"
"04/18/2022 00:25:03.323","2.2853712798886705038","55.768777303343817664"
"04/18/2022 00:25:04.307","1.9604479984652534164","55.774803519196524348"
"04/18/2022 00:25:05.322","0.93463420610704339708","55.782161083953027969"
"04/18/2022 00:25:06.307","0","55.782161083953027969"
"04/18/2022 00:25:07.322","0","55.778937776521530623"
"04/18/2022 00:25:08.306","1.3662263267505858622","55.779077917285981414"
"04/18/2022 00:25:09.322","3.631455530835969725","55.704801426200376113"
"04/18/2022 00:25:10.306","0.1766480342025533723","55.704801426200376113"
"04/18/2022 00:25:11.321","0","55.63311762074779665"
"04/18/2022 00:25:12.307","0.59648064859590954612","55.632907421242663304"
"04/18/2022 00:25:13.323","1.8959966892028612406","55.631400867279481304"
"04/18/2022 00:25:14.307","0.57604013229627382131","55.64222700326754989"
"04/18/2022 00:25:15.322","1.3189991663922095988","55.632206694137352088"
"04/18/2022 00:25:16.306","0.57210013271405957269","55.631821289572826572"
"04/18/2022 00:25:17.322","1.1332916688743033262","55.628212577576796605"
"04/18/2022 00:25:18.306","1.1682524792621329368","55.623517733910944116"
"04/18/2022 00:25:19.321","2.283658296952695288","55.640370085751719387"
"04/18/2022 00:25:20.306","5.1324831374289665575","55.631681148808375781"
"04/18/2022 00:25:21.321","0.18544536033098246719","55.630840280938620879"
"04/18/2022 00:25:22.308","1.625041297689966413","55.61339232502816543"
"04/18/2022 00:25:23.323","3.6111310857733891488","55.801290798886050482"
"04/18/2022 00:25:24.307","1.960557779328375716","55.772596238128045343"
"04/18/2022 00:25:25.307","1.7592246671647937539","55.772596238128045343"
"04/18/2022 00:25:26.323","0.74399714467717759092","55.767025508863618199"
"04/18/2022 00:25:27.307","1.9581867760306348458","55.767025508863618199"
"04/18/2022 00:25:28.322","3.2320312960176900141","55.732164614771527056"
"04/18/2022 00:25:29.306","0","55.588516699054402181"
"04/18/2022 00:25:30.322","3.8276603491113170286","53.156067140669584603"
"04/18/2022 00:25:31.306","0.80248850464319509967","53.152037983097145002"
"04/18/2022 00:25:32.315","6.154582775941852546","53.293443576733920963"
"04/18/2022 00:25:33.331","10.555692285449868706","55.584557623505723711"
"04/18/2022 00:25:34.315","2.1944751172453758059","55.627967313776714775"
"04/18/2022 00:25:35.331","0.55435591246989490699","55.639073754576749309"
"04/18/2022 00:25:36.315","0.57262548403390622909","55.628843222658339585"
"04/18/2022 00:25:37.316","2.0558831729632465191","55.618647731751821084"
"04/18/2022 00:25:38.331","2.0923372983279286963","55.48757776978602152"
"04/18/2022 00:25:39.331","1.9337717265388132404","55.625199469650446815"
"04/18/2022 00:25:40.315","1.1671277279459046916","55.617176218800523202"
"04/18/2022 00:25:41.331","0","55.589707930476805586"
"04/18/2022 00:25:42.315","1.1703311933332183337","55.588867062607050684"
"04/18/2022 00:25:43.322","0","55.585188268587273797"
"04/18/2022 00:25:44.306","0.57144343575716849415","55.584592664517593619"
"04/18/2022 00:25:45.321","0.93863423145111868351","55.587360508643868684"
"04/18/2022 00:25:46.306","0.37302627126756249254","55.587360508643868684"
"04/18/2022 00:25:47.316","1.455959908619897103","55.432115671092674347"
"04/18/2022 00:25:48.332","0","55.431274803222919445"
"04/18/2022 00:25:49.316","0.17552216676088860936","55.431239762211035327"
"04/18/2022 00:25:50.331","0.16831122192666470028","55.420728948763745336"
"04/18/2022 00:25:51.315","0.17500484177014330456","55.420728948763745336"
"04/18/2022 00:25:52.331","0.7421006839629429308","55.416769873215066866"
"04/18/2022 00:25:53.315","0","55.416279368897967572"
"04/18/2022 00:25:54.317","0.94467148099066644562","55.449808890803211625"
"04/18/2022 00:25:55.318","0.75999704118945299314","55.45597522413729763"
"04/18/2022 00:25:56.334","0.55585439494477695277","55.448792841157121813"
"04/18/2022 00:25:57.318","0.96969708054451819734","55.459198554851866447"
"04/18/2022 00:25:58.333","0","55.455729983620280166"
"04/18/2022 00:25:59.317","1.7586459638349039025","55.455484719820205441"
